manv,hoten,gioitinh,ngaysinh,luong,maph,sdt,ngaybc
KH001,Võ Diệp Diễm,Nữ,1984-01-29,7037093,KHO,0124059576,2015-08-10
TT001,Châu Chính Bình,Nam,1984-05-01,6313106,TCA,0324141903,2019-10-24
NS001,Mạc Phương Trí,Nam,1998-08-18,10082908,NSU,0399850430,2020-09-27
TC001,Phan Viễn Thịnh,Nam,1999-10-13,8569686,TCA,0380078626,2016-08-15
NS002,Phạm Kim Tiên,Nữ,1978-10-30,6769089,NSU,0328514309,2023-03-11
HC001,Hà Tâm Anh,Nam,1980-02-17,9447493,HCA,0196467082,2012-06-04
DV001,Hà Khánh Kim,Nữ,1997-12-18,10425122,DVK,0189873896,2011-06-12
KD001,Từ Bá Dũng,Nam,1991-08-06,11095572,KDA,0193978144,2016-04-03
HC002,Võ Thảo Quỳnh,Nữ,1981-11-01,10549725,HCA,0321042154,2023-12-15
KT001,Bùi Lâm Đạt,Nam,1972-11-08,11383573,KTA,0393518735,2020-06-22
HC003,Dương Phong Chiến,Nam,1995-09-28,13787205,HCA,0199573181,2020-09-06
TC002,Tôn Thắng Anh,Nam,1985-03-05,14048072,TCA,0161847356,2020-06-07
KH002,Võ Diệp Loan,Nữ,1992-02-02,9189309,KHO,0189857782,2012-09-11
DV002,Võ Xuân Khánh,Nam,1991-12-07,13784139,DVK,0385524198,2013-02-25
QT001,Từ Thị Thảo Diệu,Nữ,1997-04-27,8948017,QTA,0384060446,2013-01-01
KH003,La Đạt Giang,Nam,1987-09-05,6855300,KHO,0199192487,2017-01-18
KH004,Trịnh Trí Hưng,Nam,1988-04-26,14929646,KHO,0162164792,2023-09-03
HC004,Quách Nhật Duy,Nam,1970-04-23,8076294,HCA,0363540823,2017-06-05
MK001,Tạ Thị Chi Thảo,Nữ,1999-01-17,11417312,MKA,0166802546,2011-08-06
KT002,Mai Thị Hạnh Kim,Nữ,1993-07-08,11424169,KTA,0196451365,2021-06-21
MK002,Tạ Huy Thiện,Nam,1996-01-04,14830437,MKA,0160709772,2016-07-01
HC005,Quách Khôi Đạt,Nam,1980-07-18,6171536,HCA,0382147096,2016-05-30
KT003,Trần Gia Thắng,Nam,1988-03-07,14732158,KTA,0166755018,2014-02-19
DV003,Phan Thị Bích Mỹ,Nữ,1980-11-18,6914087,DVK,0127032594,2012-02-22
QT002,Lý Thanh Liên,Nữ,1975-09-23,13543076,QTA,0385952499,2012-02-20
QT003,Trần Hoàng Hưng,Nam,1996-05-10,9877174,QTA,0199766468,2014-06-09
NS003,Vũ Nhật Vinh,Nam,1972-06-24,8043880,NSU,0163571571,2013-03-04
TT002,Mạc Đại Toàn,Nam,1989-12-07,13081921,KDA,0121401442,2023-04-03
QT004,Hà Tấn Khang,Nam,1995-03-24,11644192,QTA,0362423895,2022-06-20
HC006,Ngô Thị Hạnh Bích,Nữ,1996-02-07,9055381,HCA,0180273337,2023-04-10
KH005,Quách Vinh Trí,Nam,1980-04-07,10518777,KHO,0196463922,2010-07-16
TC003,Võ Vy Phương,Nữ,1972-01-29,12599879,TCA,0163483743,2022-11-14
KH006,Bùi Thị Dung Diễm,Nữ,1992-01-31,13662887,KHO,0385404333,2023-08-14
KD002,Đỗ Thị Dung Vân,Nữ,1986-08-24,14550602,KDA,0394446173,2013-01-27
HC007,Hà Uyên Diễm,Nữ,1972-11-15,6792421,HCA,0380499920,2015-11-15
KT004,Kiều Thanh Lan,Nữ,1976-12-28,10731774,KTA,0365451087,2012-09-02
HC008,Trịnh Khôi Thắng,Nam,1985-07-11,9418545,HCA,0384533014,2019-03-27
DV004,Hà Thị Lan Linh,Nữ,1980-09-26,7806838,DVK,0192881123,2023-09-16
PR001,Ngô Nhật Thiện,Nam,1995-08-19,13713614,PRC,0362122029,2023-11-08
QT005,Từ Bảo Thắng,Nam,1983-02-25,8718549,QTA,0123124914,2011-02-20
KH007,Lê Thị Lan Oanh,Nữ,1978-03-12,7391566,KHO,0121153140,2021-04-08
KH008,La Quang Bảo,Nam,1977-07-29,9664608,KHO,0128801062,2018-07-30
DV005,Đặng Thị Mai Kim,Nữ,1990-06-22,7757715,DVK,0121486247,2019-05-15
HC009,Tôn Thiện Bình,Nam,1974-06-13,11262930,HCA,0366500106,2015-03-18
KT005,Tôn Phương My,Nữ,1976-09-12,12004178,KTA,0162996297,2021-03-21
HC010,Kiều Tùng Nam,Nam,1980-11-09,13203791,HCA,0127287030,2022-08-09
TT003,Lý Khôi Khánh,Nam,1998-01-02,14840109,QTA,0126491686,2016-01-31
NS004,Từ Thanh Vinh,Nam,1969-04-16,9815917,NSU,0324768072,2016-10-02
PR002,Đỗ Lan Dung,Nữ,1999-07-17,11521133,PRC,0192102194,2022-03-04
NS005,La Thị Thu Ngọc,Nữ,1999-06-30,11238446,NSU,0329833812,2021-08-11
TT004,Quách My Ngọc,Nữ,1972-02-10,11409183,DVK,0360114520,2013-08-06
HC011,Hồ Thị Linh Chi,Nữ,1985-11-02,8614909,HCA,0121534099,2018-06-13
TT005,Từ Khoa Anh,Nam,1986-01-03,9620443,MKA,0367032119,2011-07-22
KD003,Phạm Tuấn Phong,Nam,1986-11-27,14032182,KDA,0386547191,2017-06-14
TC004,Kiều Khánh Trang,Nữ,1988-02-04,8138414,TCA,0160415270,2022-08-30
TC005,Triệu Hiển Trí,Nam,1976-10-29,7863118,TCA,0385430573,2010-11-27
KT006,Võ Nhi Chi,Nữ,1970-08-13,6138417,KTA,0390639167,2022-09-04
DV006,Triệu Hồng Quân,Nam,1984-01-12,11262971,DVK,0366579892,2010-11-01
KD004,Phạm Mai Huyền,Nữ,1986-03-08,11648285,KDA,0368762358,2012-11-27
PR003,Lý Ngọc Sơn,Nam,1982-07-10,9316818,PRC,0369081194,2016-10-12
KH009,Tạ Tùng Thắng,Nam,1970-11-04,10231902,KHO,0191243991,2015-05-24
MK003,Từ Tuấn Vinh,Nam,1966-10-25,12361891,MKA,0386861673,2016-04-29
HC012,Hoàng Thị Trang Quỳnh,Nữ,1982-09-21,11860722,HCA,0167644129,2012-07-16
NS006,Mạc Thị Uyên Anh,Nữ,1965-11-05,14145937,NSU,0325477629,2011-07-02
TC006,Hà Lan Thảo,Nữ,1988-03-14,9272272,TCA,0327888691,2020-07-09
KT007,Tôn Phúc Anh,Nam,1978-08-05,12726993,KTA,0369120262,2013-03-22
PR004,La Hưng Hưng,Nam,1978-06-17,8391399,PRC,0188022592,2022-08-12
KT008,Đỗ Diệp Uyên,Nữ,1977-06-04,6282817,KTA,0392492272,2011-07-13
TT006,Nguyễn Trường Anh,Nam,1998-03-31,14765303,TCA,0129719546,2018-06-14
KD005,Dương Thị Quỳnh Diệu,Nữ,1977-06-19,8005334,KDA,0389486250,2023-04-04
KD006,Triệu Thịnh Phong,Nam,1991-05-27,12715296,KDA,0191248244,2013-05-25
